Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
19154413754808;Courbe de charge;06/10/2017;12/01/2018;Energie active;Consommation;Comptage Brut;W;30
Horodate;Valeur
2017-10-06T00:30:00+02:00;
2017-10-06T01:00:00+02:00;
2017-10-06T01:30:00+02:00;
2017-10-06T02:00:00+02:00;
2017-10-06T02:30:00+02:00;
2017-10-06T03:00:00+02:00;
2017-10-06T03:30:00+02:00;
2017-10-06T04:00:00+02:00;
2017-10-06T04:30:00+02:00;
2017-10-06T05:00:00+02:00;
2017-10-06T05:30:00+02:00;
2017-10-06T06:00:00+02:00;
2017-10-06T06:30:00+02:00;
2017-10-06T07:00:00+02:00;
2017-10-06T07:30:00+02:00;
2017-10-06T08:00:00+02:00;
2017-10-06T08:30:00+02:00;
2017-10-06T09:00:00+02:00;
2017-10-06T09:30:00+02:00;
2017-10-06T10:00:00+02:00;
2017-10-06T10:30:00+02:00;
2017-10-06T11:00:00+02:00;
2017-10-06T11:30:00+02:00;
2017-10-06T12:00:00+02:00;
2017-10-06T12:30:00+02:00;
2017-10-06T13:00:00+02:00;
2017-10-06T13:30:00+02:00;
2017-10-06T14:00:00+02:00;
2017-10-06T14:30:00+02:00;
2017-10-06T15:00:00+02:00;
2017-10-06T15:30:00+02:00;
2017-10-06T16:00:00+02:00;
2017-10-06T16:30:00+02:00;
2017-10-06T17:00:00+02:00;
2017-10-06T17:30:00+02:00;
2017-10-06T18:00:00+02:00;
2017-10-06T18:30:00+02:00;
2017-10-06T19:00:00+02:00;
2017-10-06T19:30:00+02:00;
2017-10-06T20:00:00+02:00;
2017-10-06T20:30:00+02:00;
2017-10-06T21:00:00+02:00;12
2017-10-06T21:30:00+02:00;20
2017-10-06T22:00:00+02:00;20
2017-10-06T22:30:00+02:00;20
2017-10-06T23:00:00+02:00;6
2017-10-06T23:30:00+02:00;20
2017-10-07T00:00:00+02:00;20
2017-10-07T00:30:00+02:00;48
2017-10-07T01:00:00+02:00;52
2017-10-07T01:30:00+02:00;632
2017-10-07T02:00:00+02:00;702
2017-10-07T02:30:00+02:00;376
2017-10-07T03:00:00+02:00;330
2017-10-07T03:30:00+02:00;214
2017-10-07T04:00:00+02:00;114
2017-10-07T04:30:00+02:00;196
2017-10-07T05:00:00+02:00;146
2017-10-07T05:30:00+02:00;152
2017-10-07T06:00:00+02:00;128
2017-10-07T06:30:00+02:00;124
2017-10-07T07:00:00+02:00;184
2017-10-07T07:30:00+02:00;20
2017-10-07T08:00:00+02:00;18
2017-10-07T08:30:00+02:00;8
2017-10-07T09:00:00+02:00;20
2017-10-07T09:30:00+02:00;18
2017-10-07T10:00:00+02:00;38
2017-10-07T10:30:00+02:00;114
2017-10-07T11:00:00+02:00;166
2017-10-07T11:30:00+02:00;46
2017-10-07T12:00:00+02:00;36
2017-10-07T12:30:00+02:00;32
2017-10-07T13:00:00+02:00;22
2017-10-07T13:30:00+02:00;14
2017-10-07T14:00:00+02:00;174
2017-10-07T14:30:00+02:00;700
2017-10-07T15:00:00+02:00;1902
2017-10-07T15:30:00+02:00;1478
2017-10-07T16:00:00+02:00;568
2017-10-07T16:30:00+02:00;234
2017-10-07T17:00:00+02:00;166
2017-10-07T17:30:00+02:00;24
2017-10-07T18:00:00+02:00;20
2017-10-07T18:30:00+02:00;20
2017-10-07T19:00:00+02:00;6
2017-10-07T19:30:00+02:00;20
2017-10-07T20:00:00+02:00;108
2017-10-07T20:30:00+02:00;42
2017-10-07T21:00:00+02:00;802
2017-10-07T21:30:00+02:00;878
2017-10-07T22:00:00+02:00;910
2017-10-07T22:30:00+02:00;932
2017-10-07T23:00:00+02:00;924
2017-10-07T23:30:00+02:00;908
2017-10-08T00:00:00+02:00;908
2017-10-08T00:30:00+02:00;898
2017-10-08T01:00:00+02:00;528
2017-10-08T01:30:00+02:00;522
2017-10-08T02:00:00+02:00;630
2017-10-08T02:30:00+02:00;494
2017-10-08T03:00:00+02:00;146
2017-10-08T03:30:00+02:00;190
2017-10-08T04:00:00+02:00;234
2017-10-08T04:30:00+02:00;116
2017-10-08T05:00:00+02:00;124
2017-10-08T05:30:00+02:00;120
2017-10-08T06:00:00+02:00;118
2017-10-08T06:30:00+02:00;140
2017-10-08T07:00:00+02:00;126
2017-10-08T07:30:00+02:00;22
2017-10-08T08:00:00+02:00;20
2017-10-08T08:30:00+02:00;8
2017-10-08T09:00:00+02:00;20
2017-10-08T09:30:00+02:00;148
2017-10-08T10:00:00+02:00;320
2017-10-08T10:30:00+02:00;406
2017-10-08T11:00:00+02:00;448
2017-10-08T11:30:00+02:00;458
2017-10-08T12:00:00+02:00;434
2017-10-08T12:30:00+02:00;398
2017-10-08T13:00:00+02:00;398
2017-10-08T13:30:00+02:00;376
2017-10-08T14:00:00+02:00;366
2017-10-08T14:30:00+02:00;1008
2017-10-08T15:00:00+02:00;1666
2017-10-08T15:30:00+02:00;1740
2017-10-08T16:00:00+02:00;1468
2017-10-08T16:30:00+02:00;382
2017-10-08T17:00:00+02:00;40
2017-10-08T17:30:00+02:00;34
2017-10-08T18:00:00+02:00;26
2017-10-08T18:30:00+02:00;10
2017-10-08T19:00:00+02:00;74
2017-10-08T19:30:00+02:00;158
2017-10-08T20:00:00+02:00;168
2017-10-08T20:30:00+02:00;156
2017-10-08T21:00:00+02:00;52
2017-10-08T21:30:00+02:00;20
2017-10-08T22:00:00+02:00;20
2017-10-08T22:30:00+02:00;30
2017-10-08T23:00:00+02:00;198
2017-10-08T23:30:00+02:00;120
2017-10-09T00:00:00+02:00;102
2017-10-09T00:30:00+02:00;28
2017-10-09T01:00:00+02:00;8
2017-10-09T01:30:00+02:00;534
2017-10-09T02:00:00+02:00;628
2017-10-09T02:30:00+02:00;372
2017-10-09T03:00:00+02:00;130
2017-10-09T03:30:00+02:00;108
2017-10-09T04:00:00+02:00;120
2017-10-09T04:30:00+02:00;142
2017-10-09T05:00:00+02:00;118
2017-10-09T05:30:00+02:00;108
2017-10-09T06:00:00+02:00;104
2017-10-09T06:30:00+02:00;250
2017-10-09T07:00:00+02:00;1554
2017-10-09T07:30:00+02:00;1066
2017-10-09T08:00:00+02:00;12
2017-10-09T08:30:00+02:00;16
2017-10-09T09:00:00+02:00;24
2017-10-09T09:30:00+02:00;72
2017-10-09T10:00:00+02:00;72
2017-10-09T10:30:00+02:00;40
2017-10-09T11:00:00+02:00;74
2017-10-09T11:30:00+02:00;126
2017-10-09T12:00:00+02:00;56
2017-10-09T12:30:00+02:00;36
2017-10-09T13:00:00+02:00;64
2017-10-09T13:30:00+02:00;26
2017-10-09T14:00:00+02:00;12
2017-10-09T14:30:00+02:00;636
2017-10-09T15:00:00+02:00;1880
2017-10-09T15:30:00+02:00;1610
2017-10-09T16:00:00+02:00;602
2017-10-09T16:30:00+02:00;246
2017-10-09T17:00:00+02:00;22
2017-10-09T17:30:00+02:00;26
2017-10-09T18:00:00+02:00;24
2017-10-09T18:30:00+02:00;12
2017-10-09T19:00:00+02:00;236
2017-10-09T19:30:00+02:00;240
2017-10-09T20:00:00+02:00;244
2017-10-09T20:30:00+02:00;20
2017-10-09T21:00:00+02:00;16
2017-10-09T21:30:00+02:00;10
2017-10-09T22:00:00+02:00;20
2017-10-09T22:30:00+02:00;102
2017-10-09T23:00:00+02:00;48
2017-10-09T23:30:00+02:00;44
2017-10-10T00:00:00+02:00;8
2017-10-10T00:30:00+02:00;18
2017-10-10T01:00:00+02:00;24
2017-10-10T01:30:00+02:00;646
2017-10-10T02:00:00+02:00;1132
2017-10-10T02:30:00+02:00;460
